lbr_1_joint lbr_2_joint lbr_3_joint lbr_4_joint lbr_5_joint lbr_6_joint lbr_7_joint 
2.4947 -0.644406 1.89012 -1.38813 1.71263 -2.03918 0.877017 
2.49453 -0.646706 1.88993 -1.38912 1.71572 -2.03899 0.879033 
2.49435 -0.64901 1.88974 -1.39009 1.7188 -2.0388 0.881041 
2.49416 -0.651319 1.88955 -1.39106 1.72189 -2.03859 0.883041 
2.49398 -0.653633 1.88937 -1.39202 1.72497 -2.03839 0.885033 
2.49379 -0.655952 1.8892 -1.39296 1.72806 -2.03818 0.887018 
2.4936 -0.658276 1.88903 -1.3939 1.73114 -2.03796 0.888994 
2.4934 -0.660604 1.88886 -1.39483 1.73422 -2.03774 0.890963 
2.4932 -0.662937 1.88869 -1.39574 1.73731 -2.03752 0.892923 
2.493 -0.665275 1.88853 -1.39665 1.74039 -2.03729 0.894876 
2.49279 -0.667618 1.88838 -1.39755 1.74347 -2.03706 0.89682 
2.49258 -0.669964 1.88823 -1.39844 1.74655 -2.03683 0.898757 
2.49237 -0.672316 1.88808 -1.39932 1.74963 -2.03659 0.900685 
2.49215 -0.674671 1.88793 -1.40019 1.75271 -2.03634 0.902605 
2.49193 -0.677032 1.88779 -1.40105 1.75579 -2.0361 0.904517 
2.49171 -0.679396 1.88766 -1.4019 1.75887 -2.03585 0.906421 
2.49149 -0.681765 1.88752 -1.40274 1.76195 -2.03559 0.908317 
2.49126 -0.684137 1.88739 -1.40357 1.76502 -2.03534 0.910205 
2.49103 -0.686514 1.88727 -1.40439 1.7681 -2.03508 0.912085 
2.4908 -0.688895 1.88715 -1.4052 1.77117 -2.03481 0.913956 
2.49056 -0.69128 1.88703 -1.406 1.77424 -2.03455 0.915819 
2.49032 -0.693669 1.88692 -1.40679 1.77732 -2.03428 0.917674 
2.49008 -0.696062 1.88681 -1.40757 1.78039 -2.03401 0.919521 
2.48983 -0.698459 1.88671 -1.40834 1.78345 -2.03373 0.921359 
2.48959 -0.700859 1.8866 -1.4091 1.78652 -2.03345 0.92319 
2.48934 -0.703264 1.88651 -1.40986 1.78959 -2.03317 0.925012 
2.48908 -0.705672 1.88641 -1.4106 1.79265 -2.03289 0.926825 
2.48883 -0.708083 1.88632 -1.41133 1.79571 -2.03261 0.928631 
2.48857 -0.710498 1.88624 -1.41206 1.79878 -2.03232 0.930428 
2.48831 -0.712917 1.88616 -1.41277 1.80183 -2.03203 0.932217 
2.48805 -0.715339 1.88608 -1.41348 1.80489 -2.03173 0.933998 
2.48778 -0.717765 1.88601 -1.41417 1.80795 -2.03144 0.93577 
2.48751 -0.720194 1.88594 -1.41485 1.811 -2.03114 0.937535 
